127.0.0.1 - - [04/Aug/2018:10:43:30 -0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/ HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/resources/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/resources/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/resources/img/banner-medio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/%3C%=request.getContextPath()%%3E/resources/js/bootstrap.min.js HTTP/1.1" 400 1171
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/resources/img/banner-medio2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/resources/img/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/resources/img/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:32 -0300] "GET /sistema.filmes/resources/img/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:34 -0300] "GET /sistema.filmes/resources/img/c4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:34 -0300] "GET /sistema.filmes/resources/img/c5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:35 -0300] "GET /sistema.filmes/resources/img/c6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:35 -0300] "GET /sistema.filmes/resources/img/c7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:35 -0300] "GET /sistema.filmes/resources/img/c8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:43:35 -0300] "GET /sistema.filmes/resources/img/c9.png HTTP/1.1" 304 -
